			0	1	2	3	4	5	6	7
can0	668		40	0						
can0	186		18	44	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	60	CE	0	0
can0	18A		31	C8	0	6	A4	4	AD	20
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	48	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	12E		C5	7F	FE	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	A8	CD
can0	1BD		0C	D5	0D	9C	0	0	1	6B
can0	29A		0	0	0	0	0	0	0A	F5
can0	1BB		1F	61	0	0	3	0	0	0
can0	2B7		0	E0	FF	FE	1			
can0	579		1	10	11	11	0	6	C3	0
can0	5D7		0	0	12	90	BE	90	FA	
can0	186		18	44	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	60	CE	0	0
can0	18A		31	C8	0	6	A4	4	60	30
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	44	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FE	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AA	C0
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	214		4	0						
can0	352		5C	0	0	0				
can0	500		2	CD	E6	58	73			
can0	350		C7	4E	A3	E4	14	98	94	85
can0	55D		1	1D	F0	0	92	80	0	1
can0	186		18	44	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	60	CE	0	0
can0	18A		31	C8	0	6	A4	4	39	40
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	44	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	AC	BE
can0	1BD		0C	D5	0D	9C	0	0	1	6B
can0	29A		0	0	0	0	0	0	0B	F4
can0	2B7		0	E0	FF	FE	1			
can0	356		67	FF	0	FF	0	0		
can0	666		34	0	0	0				
can0	186		18	44	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	60	CE	0	0
can0	18A		31	C8	0	6	A4	4	F4	50
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	44	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	AE	B2
