Index,System Time,Channel,Direction,Frame ID,Data
25180,22:14:18.341,ch1,R,0x0217,x| 0B 05 00 00 00 00 00
25181,22:14:18.341,ch1,R,0x02c6,x| FF FF FF FF FF F0
25182,22:14:18.341,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25183,22:14:18.342,ch1,R,0x017c,x| 18 60 50 08 4E 06 00 00
25184,22:14:18.342,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25185,22:14:18.342,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25186,22:14:18.342,ch1,R,0x0090,x| 00 00 00 00
25187,22:14:18.343,ch1,R,0x00c6,x| 80 23 80 00 80 08 A8 AC
25188,22:14:18.343,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
25189,22:14:18.343,ch1,R,0x029a,x| 00 00 00 00 00 00 02 FD
25190,22:14:18.343,ch1,R,0x02b7,x| 00 E0 FF FE 01
25191,22:14:18.349,ch1,R,0x0500,x| 02 70 9A 73 B7
25192,22:14:18.349,ch1,R,0x0303,x| 59 C8 81 18 66 C0 00
25193,22:14:18.349,ch1,R,0x03fa,x| 00 00
25194,22:14:18.350,ch1,R,0x0552,x| 00 04
25195,22:14:18.350,ch1,R,0x0186,x| 18 54 31 A3 1B 00 21
25196,22:14:18.350,ch1,R,0x0189,x| 31 B3 18 3F 30 D5 00 00
25197,22:14:18.351,ch1,R,0x018a,x| 31 B8 00 06 AA 04 16 70
25198,22:14:18.351,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25199,22:14:18.351,ch1,R,0x03f7,x| 08 10 04
25200,22:14:18.352,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25201,22:14:18.352,ch1,R,0x017c,x| 18 5C 50 08 4E 06 00 00
25202,22:14:18.352,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25203,22:14:18.352,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25204,22:14:18.353,ch1,R,0x0090,x| 00 00 00 00
25205,22:14:18.353,ch1,R,0x00c6,x| 80 23 7F F6 80 08 AA B5
25206,22:14:18.353,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
25207,22:14:18.353,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
25208,22:14:18.353,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
25209,22:14:18.354,ch1,R,0x0352,x| 5C 00 00 00
25210,22:14:18.354,ch1,R,0x0634,x| 80 00 00
25211,22:14:18.354,ch1,R,0x01bd,x| 0C AF 0D 8C 00 00 01 6B
25212,22:14:18.354,ch1,R,0x0579,x| 01 10 11 11 00 06 C3 00
25213,22:14:18.355,ch1,R,0x01bb,x| 20 61 00 00 03 00 00 00
25214,22:14:18.359,ch1,R,0x0211,x| 4E 12 0A 5B F1 28 00 E4
25215,22:14:18.359,ch1,R,0x0214,x| 04 00
25216,22:14:18.359,ch1,R,0x0218,x| 98
25217,22:14:18.360,ch1,R,0x04fa,x| 08 00
25218,22:14:18.360,ch1,R,0x0671,x| 02 00
25219,22:14:18.360,ch1,R,0x0186,x| 18 54 31 A3 1B 00 21
25220,22:14:18.360,ch1,R,0x0189,x| 31 B3 18 3F 30 D5 00 00
25221,22:14:18.361,ch1,R,0x018a,x| 31 B8 00 06 AA 04 69 80
25222,22:14:18.361,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
25223,22:14:18.361,ch1,R,0x0217,x| 0B 05 00 00 00 00 00
25224,22:14:18.361,ch1,R,0x02c6,x| FF FF FF FF FF F0
25225,22:14:18.362,ch1,R,0x017a,x| 31 B5 51 AA 00 00 32 00
25226,22:14:18.362,ch1,R,0x017c,x| 18 58 50 08 4E 06 00 00
25227,22:14:18.362,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
25228,22:14:18.362,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
25229,22:14:18.362,ch1,R,0x0090,x| 00 00 00 00
25230,22:14:18.363,ch1,R,0x00c6,x| 80 23 80 14 80 08 AC 94
25231,22:14:18.363,ch1,R,0x012e,x| C6 80 02 7F E0 FF FF 00
